规模行  规模列  统计值  失败计数
4  4  56  0
4  6  44  0
4  8  37  0
4  10  34  0
4  12  30  0
4  14  26  0
4  16  23  0
4  18  25  1
6  4  48  1
6  6  41  0
6  8  33  0
6  10  37  0
6  12  31  0
6  14  31  0
6  16  32  1
6  18  30  0
8  4  38  0
8  6  34  0
8  8  29  0
8  10  23  0
8  12  23  0
8  14  18  0
8  16  15  0
8  18  14  0
10  4  33  1
10  6  27  0
10  8  25  0
10  10  26  0
10  12  24  0
10  14  21  0
10  16  21  0
10  18  22  0
12  4  25  0
12  6  25  0
12  8  19  0
12  10  20  0
12  12  17  0
12  14  20  0
12  16  16  0
12  18  14  0
14  4  24  0
14  6  21  0
14  8  18  0
14  10  22  0
14  12  18  0
14  14  18  0
14  16  16  0
14  18  18  0
16  4  23  0
16  6  19  0
16  8  20  0
16  10  18  0
16  12  19  0
16  14  13  0
16  16  15  0
16  18  14  0
18  4  19  0
18  6  17  0
18  8  16  0
18  10  16  0
18  12  16  0
18  14  14  0
18  16  17  0
18  18  15  0
